Day,Month,Year,Min Air temp.,Max Air temp,Mean Temp,Min humidity,Max humidity,Mean Humidity,Rainfall in mm,Weather(Sunshine),Black/green,Yeild
21,6,2016,19.24,36.147,27.6935,26.8,36,31.4,2.96,0.4,0,100
21,9,2017,16,32.48,24.24,25.2,32.6,28.9,0.933,0,0,100
20,9,2017,16.167,32.573,24.37,25.667,33.667,29.667,0.933,0,0,103
24,5,2016,16.067,34.947,25.507,21,22.333,21.6665,0.867,0.067,0,106
27,4,2017,12,33.66,22.83,26.933,35.733,31.333,2.533,0.2,0,106
29,8,2017,19.011,32.889,25.95,32,49.889,40.9445,11.489,0.667,0,106
26,9,2017,15.053,32.12,23.5865,25.067,31.733,28.4,0.6,0,0,107
23,5,2016,16.073,34.427,25.25,20,20,20,0,0.067,0,108
2,5,2016,10.78,29.06,19.92,20.8,23.8,22.3,1.1,0.133,0,109
21,4,2017,9.407,29.02,19.2135,25.667,36.4,31.0335,2.833,0.267,0,109
3,9,2016,18.6,31.893,25.2465,23.267,36.333,29.8,3.54,0.533,0,113
1,9,2016,18.533,32.087,25.31,23.067,36.467,29.767,3.073,0.467,0,114
18,7,2017,21.06,33.72,27.39,32.6,48.8,40.7,6.433,0.6,0,114
26,4,2017,11.92,33.553,22.7365,26.4,35,30.7,2.533,0.2,0,118
12,8,2017,20.3,31.867,26.0835,38.667,62,50.3335,14.2,0.467,0,120
14,8,2016,21.073,32.527,26.8,31.6,43.6,37.6,8.413,0.4,0,125
29,5,2017,15.353,33.833,24.593,25.867,37.8,31.8335,0.6,0.533,0,131
12,9,2017,18.267,32.6,25.4335,28.467,41.867,35.167,2.667,0.2,0,131
16,8,2016,20.713,32.54,26.6265,31.6,46,38.8,11.18,0.333,0,135
3,5,2017,12.26,32.807,22.5335,26.267,34.933,30.6,2.533,0.267,0,135
9,5,2017,10.987,29.6,20.2935,26.933,39.6,33.2665,2,0.2,0,135
19,4,2016,10.58,26.767,18.6735,24.733,31.4,28.0665,4.233,0.333,0,138
29,4,2017,12.22,33.533,22.8765,26.733,35.6,31.1665,2.533,0.2,0,139
21,8,2017,20.113,33.44,26.7765,35.733,54.667,45.2,18.353,0.6,0,139
17,7,2017,21.1,33.827,27.4635,31.4,47.133,39.2665,6.233,0.6,0,140
23,8,2017,19.933,33.353,26.643,33.667,51.333,42.5,13.887,0.6,0,141
18,6,2018,18.553,38,28.2765,22.133,25.533,23.833,0.4,0.067,0,141
11,9,2017,18.373,32.607,25.49,28.8,42.533,35.6665,2.333,0.267,0,155
27,6,2019,16.133,34.067,25.1,37.333,46.667,42,2.367,0.4,0,155
21,6,2019,16.18,36.76,26.47,24.733,28.333,26.533,0.733,0.133,0,156
16,9,2016,18.667,32.247,25.457,22.667,34.733,28.7,1.467,0.2,0,157
18,4,2016,10.48,26.093,18.2865,24.667,31.533,28.1,4.967,0.4,0,158
8,5,2017,11.033,29.727,20.38,27.6,40.2,33.9,2.467,0.267,0,162
24,8,2017,19.528,33.217,26.3725,33.611,52.111,42.861,14.294,0.611,0,164
22,4,2017,9.86,29.74,19.8,25.6,36.133,30.8665,2.433,0.2,0,165
18,8,2017,20.833,33.087,26.96,34.867,54.133,44.5,10.653,0.533,0,165
30,4,2016,11.027,29.107,20.067,20.8,23.8,22.3,1.1,0.133,0,166
11,7,2019,19.233,34.32,26.7765,50.8,66.933,58.8665,0,0.267,0,166
17,8,2017,21.087,32.96,27.0235,35.733,56.067,45.9,11.52,0.6,0,167
30,8,2017,19.094,32.883,25.9885,32,49.333,40.6665,11.489,0.611,0,167
5,5,2017,11.987,31.187,21.587,27.267,37.667,32.467,3.067,0.333,0,169
28,4,2017,12.1,33.667,22.8835,27.133,36,31.5665,2.533,0.2,0,170
4,5,2017,12.28,31.913,22.0965,26.267,35.467,30.867,2.533,0.333,0,173
20,9,2016,18.173,32.84,25.5065,23.667,28.8,26.2335,1,0.133,0,174
8,9,2016,18.793,31.113,24.953,23.467,39.8,31.6335,3.807,0.6,0,176
22,8,2017,19.8,33.473,26.6365,36.067,54.733,45.4,18.353,0.6,0,177
1,8,2017,19.227,32.78,26.0035,38,57.533,47.7665,13.267,0.533,0,178
10,8,2017,21.02,31.893,26.4565,37.867,58.867,48.367,13.967,0.467,0,181
24,6,2019,16.26,35.64,25.95,30.133,36.867,33.5,1.933,0.267,0,181
4,8,2017,19.527,31.893,25.71,38.533,58.8,48.6665,12.433,0.467,0,182
24,7,2019,20.667,32,26.3335,64.333,79.467,71.9,8.087,0.333,0,184
21,5,2019,15.333,30.813,23.073,36.867,48.6,42.7335,1.767,0.667,0,186
24,5,2017,16.087,16.087,16.087,33.68,25.933,29.8065,37.467,0.6,0,188
23,7,2019,20.6,31.867,26.2335,63.8,77.4,70.6,6.82,0.333,0,188
5,9,2016,19.16,31.793,25.4765,23.467,37.267,30.367,3.54,0.533,0,191
27,7,2017,19.74,32.707,26.2235,37.867,54.933,46.4,9.667,0.533,0,192
13,9,2017,18.04,32.673,25.3565,28.467,42.267,35.367,2.667,0.2,0,193
2,5,2017,12.333,33.147,22.74,26.267,34.933,30.6,2.533,0.2,0,195
24,7,2017,20.9,33.48,27.19,36.467,53.2,44.8335,11.967,0.733,0,195
25,7,2017,20.327,32.613,26.47,37.333,54.867,46.1,8.9,0.6,0,195
7,9,2016,19.067,31.42,25.2435,23.467,38.733,31.1,3.807,0.6,0,197
15,8,2017,21.54,32.753,27.1465,38.733,61.067,49.9,10.8,0.533,0,200
8,9,2017,18.5,32.6,25.55,31.8,49.067,40.4335,5.6,0.4,0,200
3,9,2019,20,29.333,24.6665,47.2,72.733,59.9665,0.4,0.133,0,203
19,9,2019,18.5,33.367,25.9335,35.733,79.6,57.6665,0,0,0,208
7,5,2016,11.567,30.353,20.96,20.333,22,21.1665,0.567,0.2,0,210
28,8,2017,19.55,33.05,26.3,32.556,50.5,41.528,11.489,0.667,0,213
5,9,2017,19.253,32.64,25.9465,31.333,48.867,40.1,5.267,0.533,0,217
15,9,2017,17.793,33,25.3965,26.733,36.467,31.6,0.667,0.067,0,218
3,7,2019,15.533,34.587,25.06,50,66.867,58.4335,2.367,0.4,0,218
19,7,2017,21.04,33.713,27.3765,32,48.467,40.2335,7.3,0.667,0,220
16,9,2019,19.033,33.14,26.0865,37.133,81.8,59.4665,0,0,0,220
22,5,2019,15.367,31.273,23.32,37.733,50.467,44.1,1.767,0.733,0,223
4,8,2016,21.2,32.987,27.0935,27.667,37.267,32.467,3.333,0.4,0,229
10,7,2019,18.947,34.38,26.6635,49.933,66.867,58.4,0.433,0.333,0,238
31,8,2019,18.933,27.933,23.433,53.4,73.267,63.3335,3.067,0.267,0,240
14,5,2018,12.96,31.02,21.99,23.133,26,24.5665,1.5,0.133,0,241
17,9,2019,18.92,33.26,26.09,37.067,81.133,59.1,0,0,0,248
14,9,2019,19.84,32.58,26.21,42.2,80.6,61.4,0,0,0,253
18,5,2016,15.627,32.307,23.967,20,20,20,0,0.333,0,255
23,5,2018,13.987,30.533,22.26,25.533,30.867,28.2,1.3,0.467,0,255
19,9,2016,18.067,32.613,25.34,24.333,31.333,27.833,1,0.133,0,261
2,9,2019,19.667,28.733,24.2,49.6,72.467,61.0335,0.4,0.133,0,261
18,5,2017,15.293,31.44,23.3665,26.267,39.133,32.7,1.133,0.533,0,266
18,7,2019,21.633,32.333,26.983,57.267,70.067,63.667,5.82,0.467,0,266
15,9,2019,19.327,32.92,26.1235,39.4,80.933,60.1665,0,0,0,268
30,8,2016,18.547,32.1,25.3235,23.6,39.6,31.6,5.773,0.4,0,270
19,5,2017,15.3,31.78,23.54,26.8,39.8,33.3,1.133,0.533,0,271
3,8,2017,19.44,32.313,25.8765,38.333,57.533,47.933,12.333,0.467,0,272
16,5,2019,14.473,31.867,23.17,28.533,38.867,33.7,1.133,0.6,0,273
10,5,2018,12.567,31.1,21.8335,22.667,25.667,24.167,0.633,0.067,0,275
23,5,2019,15.373,31.547,23.46,38.533,52,45.2665,1.767,0.8,0,281
6,9,2017,19.22,32.56,25.89,31.333,49,40.1665,5.267,0.467,0,282
23,4,2016,10.853,27.853,19.353,24.533,31.2,27.8665,3.933,0.333,0,289
27,4,2016,10.66,28.573,19.6165,22.867,28.533,25.7,1.3,0.2,0,290
22,4,2016,10.727,27.56,19.1435,24.2,30.067,27.1335,3.367,0.333,0,294
21,7,2017,21.073,33.707,27.39,33.333,49.867,41.6,7.3,0.733,0,295
23,5,2017,16.053,33.633,24.843,25.667,37.333,31.5,0.6,0.667,0,298
30,8,2019,18.267,27.933,23.1,52.6,74.467,63.5335,3.067,0.267,0,298
2,8,2016,20.987,32.707,26.847,29.133,41.2,35.1665,4.367,0.4,0,300
4,8,2019,19.867,29.56,24.7135,63.8,85.667,74.7335,7.467,0.6,0,300
12,8,2016,21.327,32.66,26.9935,33.133,44,38.5665,8.413,0.4,0,303
26,4,2016,10.46,28.38,19.42,24.533,32.067,28.3,3.833,0.267,0,306
29,8,2019,18.133,27.667,22.9,55.133,74,64.5665,5.2,0.333,0,306
20,7,2017,20.933,33.893,27.413,33,49.533,41.2665,7.3,0.733,0,310
12,5,2019,14.76,31.68,23.22,29.133,37.667,33.4,0,0.533,0,310
21,5,2017,15.833,32.393,24.113,25.6,37.667,31.6335,0.6,0.6,0,311
9,8,2017,20.92,31.793,26.3565,37.333,57.333,47.333,12.233,0.467,0,312
8,5,2019,13.293,30.327,21.81,35.667,45.667,40.667,1.333,0.733,0,319
25,4,2016,10.607,28.12,19.3635,24.533,32.067,28.3,3.833,0.333,0,322
20,4,2016,10.753,27.26,19.0065,24.2,30.2,27.2,3.367,0.333,0,325
4,9,2019,20.2,29.853,25.0265,46.2,74.267,60.2335,0.4,0.133,0,327
15,9,2016,18.733,32.14,25.4365,22.533,35.467,29,1.467,0.267,0,331
21,4,2016,10.74,27.427,19.0835,24.2,30.067,27.1335,3.367,0.333,0,334
7,5,2018,11.42,31.227,21.3235,25,29.533,27.2665,0,0,0,334
20,7,2019,21.1,31.533,26.3165,58.933,70.067,64.5,6.087,0.333,0,335
26,4,2018,9.167,26,17.5835,36.933,50.333,43.633,5.573,0.467,0,336
29,4,2019,13.5,26.747,20.1235,47.267,58,52.6335,2.767,0.733,0,344
13,5,2019,14.667,31.767,23.217,28.467,37.467,32.967,0.267,0.533,0,347
29,7,2019,20.233,31.493,25.863,64.533,82.467,73.5,13.153,0.6,0,350
8,8,2016,21.447,32.727,27.087,31.067,40.933,36,5.467,0.4,0,358
5,9,2019,20.193,30.34,25.2665,46.267,76.467,61.367,0.4,0.133,0,360
3,5,2016,10.793,29.493,20.143,20.8,23.8,22.3,1.1,0.133,0,362
17,5,2016,15.253,32.34,23.7965,20,20,20,0,0.333,0,363
21,5,2018,14.34,30.273,22.3065,26.533,32.533,29.533,1.933,0.467,0,363
11,5,2019,14.333,31.38,22.8565,31.467,40.4,35.9335,0.933,0.533,0,370
23,4,2019,13.24,26.34,19.79,48.267,58.733,53.5,3.1,0.6,0,372
28,4,2018,9.393,27.24,18.3165,34.533,46.533,40.533,5.573,0.4,0,377
17,5,2019,14.933,32.113,23.523,30.333,41.067,35.7,1.133,0.667,0,377
16,8,2019,19.733,28.933,24.333,63,81.4,72.2,7.433,0.533,0,377
31,7,2019,19.933,30.76,25.3465,63.4,81.8,72.6,8.047,0.467,0,381
28,4,2016,11.06,28.793,19.9265,21.067,24.8,22.9335,1.1,0.133,0,385
1,8,2016,21.2,32.74,26.97,28.867,39.733,34.3,4.367,0.4,0,394
16,5,2016,15.02,32.08,23.55,20,20,20,0,0.333,0,401
24,4,2016,10.687,27.913,19.3,24.533,32.067,28.3,3.833,0.333,0,403
29,4,2016,11.04,28.96,20,20.8,23.8,22.3,1.1,0.133,0,407
14,5,2016,14.06,32.16,23.11,20,20,20,0,0.333,0,411
24,8,2019,18.333,27.933,23.133,60.467,74.6,67.5335,6.933,0.333,0,411
6,8,2016,21.293,33.007,27.15,28.8,38.2,33.5,3.333,0.4,0,414
13,5,2016,13.687,31.933,22.81,20,20,20,0,0.333,0,417
10,5,2016,12.493,31.22,21.8565,20,20,20,0,0.333,0,418
8,5,2016,11.68,30.393,21.0365,20,20.867,20.4335,0,0.267,0,420
9,5,2016,12.167,30.667,21.417,20,20,20,0,0.333,0,427
11,5,2016,12.987,31.7,22.3435,20,20,20,0,0.333,0,434
26,7,2019,21.067,32.827,26.947,64.8,81.733,73.2665,10.953,0.467,0,437
22,7,2019,20.667,31.667,26.167,62.4,75,68.7,6.087,0.333,0,442
23,7,2018,22.053,33.813,27.933,49.4,49.4,49.4,15.1,0.533,1,308
29,5,2019,14.24,31.427,22.8335,47.067,62.133,54.6,2.333,1,1,317
16,4,2018,12.04,28.547,20.2935,27.867,37.133,32.5,4.907,0.533,1,321
23,8,2018,21.84,32.593,27.2165,37.2,51.133,44.1665,2.867,0.533,1,321
18,6,2019,16.013,37.2,26.6065,24.467,27.8,26.1335,0,0,1,332
28,5,2019,14.233,31.353,22.793,45.667,61.467,53.567,2.333,1,1,334
20,8,2019,18.8,28.8,23.8,64.867,78.733,71.8,8.933,0.4,1,340
18,5,2018,13.827,30.147,21.987,25.4,30.2,27.8,1.6,0.333,1,344
18,9,2018,17.893,32.553,25.223,20.667,22.533,21.6,0.467,0.333,1,366
8,5,2019,13.293,30.327,21.81,35.667,45.667,40.667,1.333,0.733,1,416
1,8,2018,19.74,28.7,24.22,55.4,55.467,55.4335,17.267,0.533,1,424
17,8,2018,21.893,33.553,27.723,37.067,48.667,42.867,20.067,0.533,1,461
21,5,2019,15.333,30.813,23.073,36.867,48.6,42.7335,1.767,0.667,1,477
4,9,2018,20.847,32.427,26.637,24.733,31.067,27.9,0,0,1,480
10,8,2018,20.133,31.527,25.83,42.2,48.267,45.2335,22.333,0.467,1,481
15,5,2019,14.48,31.813,23.1465,27.667,37.533,32.6,0.267,0.533,1,481
17,9,2018,18.247,32.427,25.337,21,23.533,22.2665,0.467,0.333,1,482
3,9,2018,20.82,32.347,26.5835,25.4,32.2,28.8,0,0,1,490
4,5,2018,10.26,29.987,20.1235,30.2,37.533,33.8665,3.507,0.133,1,501
16,5,2019,14.473,31.867,23.17,28.533,38.867,33.7,1.133,0.6,1,502
31,7,2018,20.127,28.5,24.3135,55.733,55.8,55.7665,17.267,0.6,1,521
2,5,2019,13.147,27.033,20.09,42.933,53.733,48.333,1.8,0.6,1,532
6,8,2019,20.3,28.827,24.5635,64.067,84.867,74.467,8.633,0.667,1,541
5,9,2018,20.893,32.32,26.6065,23.867,30,26.9335,0,0,1,553
9,8,2018,19.727,30.573,25.15,42.333,47,44.6665,21.8,0.4,1,584
2,8,2018,19.407,28.933,24.17,51.733,52.133,51.933,14.3,0.467,1,592
5,5,2018,10.367,30.5,20.4335,29,35.533,32.2665,3,0.067,1,600
10,9,2018,19.88,32.667,26.2735,22.6,27.2,24.9,0,0.067,1,618
15,8,2018,21.693,33.9,27.7965,34.933,44,39.4665,19.4,0.467,1,620
9,5,2019,13.653,30.4,22.0265,34.867,44.467,39.667,1.333,0.667,1,622
20,5,2019,15.553,30.907,23.23,35.933,47.267,41.6,1.433,0.667,1,626
16,8,2018,21.747,33.667,27.707,35.6,45,40.3,19.4,0.467,1,636
11,9,2018,19.967,32.707,26.337,22.6,26.467,24.5335,0,0.133,1,673
10,5,2019,13.94,30.58,22.26,34.2,43.467,38.8335,1.333,0.6,1,682
12,5,2018,12.733,31.067,21.9,22,23.667,22.8335,0.633,0.067,1,695
27,8,2019,18.467,27.8,23.1335,56.933,73,64.9665,7.333,0.4,1,717
3,5,2018,9.88,29.447,19.6635,31.867,40.533,36.2,3.64,0.2,1,737
2,8,2019,19.933,30.36,25.1465,62.4,82.667,72.5335,7.733,0.467,1,749
7,8,2019,20.633,28.76,24.6965,63.133,82.667,72.9,9.167,0.6,1,750
2,5,2018,9.847,28.353,19.1,33.867,43.867,38.867,5.04,0.267,1,771
